Area;Total;0-4y;5-9y;10-14y;15-19y;20-24y;25-29y;30-34y;35-39y;40-44y;45-49y;50-54y;55-59y;60-64y;65-69y;70-74y;75-79y;80-84y;85-89y;90-y
Tervo;1477;43;58;37;57;30;43;53;71;55;69;81;119;175;183;154;80;68;67;34
Tervola;2876;124;162;158;155;100;125;108;143;115;116;183;260;266;220;205;174;128;92;42
Teuva;4888;174;249;265;264;165;138;201;203;218;229;300;395;389;438;450;302;227;177;104
Tohmajärvi;4085;146;194;199;169;103;116;146;190;192;225;256;350;393;422;379;260;180;98;67
Toholampi;2914;135;186;213;205;82;100;133;114;153;126;196;204;237;209;235;164;114;69;39
Toivakka;2376;105;164;178;115;44;66;105;136;135;154;150;162;187;184;203;126;83;50;29
Tornio;20791;977;1196;1316;1266;1009;1151;1073;1152;1223;1169;1204;1397;1485;1632;1546;831;580;357;227
Turku;159812;5814;6186;6102;6924;16548;15189;11476;10018;8909;7774;8805;9292;9245;9603;10470;7286;4878;3165;2128
Tuusniemi;2383;57;85;99;95;42;47;83;123;90;93;167;219;298;269;245;150;120;65;36
Tuusula;35749;1524;2205;2680;2542;1241;1406;1692;2197;2680;2781;2933;2704;2226;2056;2135;1331;789;438;189
Tyrnävä;6543;504;729;788;485;201;283;380;443;416;354;350;358;344;283;246;149;118;71;41
Ulvila;12471;507;752;790;697;373;573;599;762;791;706;814;840;881;878;1016;640;498;230;124
Urjala;4510;151;202;231;199;124;138;187;230;255;270;285;340;371;415;412;272;216;121;91
Utajärvi;2571;78;143;152;157;70;76;108;118;107;120;151;236;223;256;211;139;93;88;45
Utsjoki;652;21;18;21;15;14;43;45;43;36;48;53;53;59;57;64;31;17;8;6
Uurainen;3600;254;331;332;206;76;146;203;208;256;240;211;212;195;219;222;141;78;49;21
Nykarleby;493;16;23;27;16;13;20;30;25;24;33;35;34;47;40;46;25;21;9;9
Uusikaupunki;14305;459;690;706;663;537;701;680;718;777;806;901;1135;1072;1222;1304;830;586;321;197
Vaala;2711;85;101;117;134;75;90;73;100;98;117;186;244;273;302;265;188;137;86;40
Vaasa;45486;1746;2227;2422;2603;4101;3231;2702;2854;2737;2479;2749;2754;2686;2851;2735;1914;1349;877;469
Valkeakoski;20021;773;1101;1255;1083;811;813;935;1182;1275;1272;1264;1304;1256;1450;1727;1082;728;432;278
Vantaa;180471;8686;9588;10309;9823;11184;13707;12689;12633;12159;11190;12032;12293;10527;9692;9934;6701;4147;2231;946
Varkaus;19578;594;785;927;970;745;883;820;918;999;1021;1218;1609;1728;1837;1706;1147;814;546;311
Vehmaa;2209;84;111;118;105;66;105;106;101;142;121;146;167;176;185;175;115;80;67;39
Vesanto;1937;38;57;82;75;48;52;55;69;74;80;135;157;186;208;241;143;105;81;51
Vesilahti;4277;194;305;343;319;104;161;167;250;330;331;352;321;289;243;224;135;96;72;41
Veteli;2950;106;158;199;151;107;117;119;149;157;152;170;193;231;289;242;149;124;99;38
Vieremä;3408;123;187;178;188;128;140;163;157;193;182;253;266;285;293;252;172;117;85;46
Vihti;26900;1207;1632;1999;1692;1065;1099;1349;1696;1973;1880;2008;1939;1729;1733;1704;1042;622;346;185
Viitasaari;5990;212;217;258;273;200;229;243;261;252;241;343;504;542;608;571;382;315;227;112
Vimpeli;2745;80;147;158;174;84;99;93;133;153;138;188;206;247;267;230;125;104;69;50
Virolahti;2885;72;121;144;136;84;77;100;143;166;167;186;242;260;272;273;187;129;72;54
Virrat;6367;180;259;306;308;189;178;254;259;268;344;401;499;487;633;674;425;313;245;145
Vårdö;23;0;0;0;0;0;0;2;1;1;0;1;2;1;5;2;5;1;1;1
Vöyri;809;33;33;40;39;29;35;33;39;54;49;54;73;78;58;64;49;24;18;7
Ylitornio;3760;81;118;152;151;122;117;120;151;146;158;214;355;394;393;366;259;220;165;78
Ylivieska;15039;933;1152;1073;1009;749;881;1029;1051;866;708;703;816;949;934;856;540;386;258;146
Ylöjärvi;32360;1822;2446;2458;2098;1004;1457;1957;2265;2279;2106;2171;2146;2033;1790;1784;1175;720;432;217
Ypäjä;2262;66;98;122;110;93;100;102;111;142;126;158;179;190;201;195;106;73;50;40
Ähtäri;5458;189;234;312;286;167;176;228;275;261;247;334;413;481;529;561;300;248;136;81
Äänekoski;18211;706;989;1104;1071;736;713;773;900;1059;1024;1168;1383;1444;1427;1483;962;686;397;186
