"","date","BTC","SP500"
"137","2013-09-04",130.199997,1653.079956
"138","2013-09-05",121.900002,1655.079956
"139","2013-09-06",128.990005,1655.170044
"140","2013-09-09",132.619995,1671.709961
"141","2013-09-10",142.100006,1683.98999
"142","2013-09-11",139.350006,1689.130005
"143","2013-09-12",140.660004,1683.420044
"144","2013-09-13",136.710007,1687.98999
"145","2013-09-16",139.149994,1697.599976
"146","2013-09-17",140.410004,1704.76001
"147","2013-09-18",135.050003,1725.52002
"148","2013-09-19",133.809998,1722.339966
"149","2013-09-20",134.380005,1709.910034
"150","2013-09-23",134.779999,1701.839966
"151","2013-09-24",135,1697.420044
"152","2013-09-25",137.100006,1692.77002
"153","2013-09-26",138.929993,1698.670044
"154","2013-09-27",142.5,1691.75
"155","2013-09-30",140.300003,1681.550049
"156","2013-10-01",123,1695
"157","2013-10-02",130.990005,1693.869995
"158","2013-10-03",136.820007,1678.660034
"159","2013-10-04",136.699997,1690.5
"160","2013-10-07",136.490005,1676.119995
"161","2013-10-08",139.5,1655.449951
"162","2013-10-09",140.410004,1656.400024
"163","2013-10-10",140.100006,1692.560059
"164","2013-10-11",142.889999,1703.199951
"165","2013-10-14",158.089996,1710.140015
"166","2013-10-15",152.820007,1698.060059
"167","2013-10-16",157.589996,1721.540039
"168","2013-10-17",168.279999,1733.150024
"169","2013-10-18",183.149994,1744.5
"170","2013-10-21",202.990005,1744.660034
"171","2013-10-22",227.970001,1754.670044
"172","2013-10-23",206.979996,1746.380005
"173","2013-10-24",197.880005,1752.069946
"174","2013-10-25",188.559998,1759.77002
"175","2013-10-28",206.899994,1762.109985
"176","2013-10-29",216,1771.949951
"177","2013-10-30",208,1763.310059
"178","2013-10-31",211.169998,1756.540039
"179","2013-11-01",213.429993,1761.640015
"180","2013-11-04",238.160004,1767.930054
"181","2013-11-05",251.300003,1762.969971
"182","2013-11-06",264.100006,1770.48999
"183","2013-11-07",309.649994,1747.150024
"184","2013-11-08",355,1770.609985
"185","2013-11-11",362.980011,1771.890015
"186","2013-11-12",380.040009,1767.689941
"187","2013-11-13",434.850006,1782
"188","2013-11-14",433.399994,1790.619995
"189","2013-11-15",433.920013,1798.180054
"190","2013-11-18",785.429993,1791.530029
"191","2013-11-19",645.690002,1787.869995
"192","2013-11-20",637.969971,1781.369995
"193","2013-11-21",764.909973,1795.849976
"194","2013-11-22",802,1804.76001
"195","2013-11-25",829.98999,1802.47998
"196","2013-11-26",969.960022,1802.75
"197","2013-11-27",1079.890015,1807.22998
"198","2013-11-29",1206.930054,1805.810059
"199","2013-12-02",1096.560059,1800.900024
"200","2013-12-03",1154.859985,1795.150024
"201","2013-12-04",1237.550049,1792.810059
"202","2013-12-05",1106.349976,1785.030029
"203","2013-12-06",845.02002,1805.089966
"204","2013-12-09",918.950012,1808.369995
"205","2013-12-10",1033.719971,1802.619995
"206","2013-12-11",919.929993,1782.219971
"207","2013-12-12",899.97998,1775.5
"208","2013-12-13",936.77002,1775.319946
"209","2013-12-16",759.919983,1786.540039
"210","2013-12-17",714.969971,1781
"211","2013-12-18",540.97998,1810.650024
"212","2013-12-19",731.950012,1809.599976
"213","2013-12-20",649.960022,1818.319946
"214","2013-12-23",713.23999,1827.98999
"215","2013-12-24",702.75,1833.319946
"216","2013-12-26",801.97998,1842.02002
"217","2013-12-27",803.049988,1841.400024
"218","2013-12-30",804.830017,1841.069946
"219","2013-12-31",805.940002,1848.359985
"220","2014-01-02",856.909973,1831.97998
"221","2014-01-03",884.26001,1831.369995
"222","2014-01-06",1012.650024,1826.77002
"223","2014-01-07",879.900024,1837.880005
"224","2014-01-08",938.840027,1837.48999
"225","2014-01-09",936.950012,1838.130005
"226","2014-01-10",957.76001,1842.369995
"227","2014-01-13",922.909973,1819.199951
"228","2014-01-14",919.280029,1838.880005
"229","2014-01-15",941.219971,1848.380005
"230","2014-01-16",913.48999,1845.890015
"231","2014-01-17",894.159973,1838.699951
"232","2014-01-21",962.210022,1843.800049
"233","2014-01-22",950.950012,1844.859985
"234","2014-01-23",944.159973,1828.459961
"235","2014-01-24",916.549988,1790.290039
"236","2014-01-27",943.539978,1781.560059
"237","2014-01-28",932.679993,1792.5
"238","2014-01-29",925.669983,1774.199951
"239","2014-01-30",941.390015,1794.189941
"240","2014-01-31",938.849976,1782.589966
"241","2014-02-03",931.710022,1741.890015
"242","2014-02-04",926.640015,1755.199951
"243","2014-02-05",904.52002,1751.640015
"244","2014-02-06",828.869995,1773.430054
"245","2014-02-07",695.650024,1797.02002
"246","2014-02-10",582.630005,1799.839966
"247","2014-02-11",578.960022,1819.75
"248","2014-02-12",531.130005,1819.26001
"249","2014-02-13",451.440002,1829.829956
"250","2014-02-14",427.679993,1838.630005
"251","2014-02-18",293.950012,1840.76001
"252","2014-02-19",261.529999,1828.75
"253","2014-02-20",111.919998,1839.780029
"254","2014-02-21",111.559998,1836.25
"255","2014-02-24",174,1847.609985
"256","2014-02-25",135.779999,1845.119995
"257","2014-02-26",593.140015,1845.160034
"258","2014-02-27",596.48999,1854.290039
"259","2014-02-28",573.940002,1859.449951
"260","2014-03-03",662.179993,1845.72998
"261","2014-03-04",661.849976,1873.910034
"262","2014-03-05",658.299988,1873.810059
"263","2014-03-06",648.26001,1877.030029
"264","2014-03-07",616.72998,1878.040039
"265","2014-03-10",612.969971,1877.170044
"266","2014-03-11",608.690002,1867.630005
"267","2014-03-12",619.429993,1868.199951
"268","2014-03-13",625.039978,1846.339966
"269","2014-03-14",614.030029,1841.130005
"270","2014-03-17",606.380005,1858.829956
"271","2014-03-18",598.929993,1872.25
"272","2014-03-19",594.960022,1860.77002
"273","2014-03-20",565.98999,1872.01001
"274","2014-03-21",549.599976,1866.52002
"275","2014-03-24",567.559998,1857.439941
"276","2014-03-25",562.890015,1865.619995
"277","2014-03-26",562.450012,1852.560059
"278","2014-03-27",460.450012,1849.040039
"279","2014-03-28",482.609985,1857.619995
"280","2014-03-31",463.450012,1872.339966
"281","2014-04-01",424.369995,1885.52002
"282","2014-04-02",436.309998,1890.900024
"283","2014-04-03",444.359985,1888.77002
"284","2014-04-04",456.630005,1865.089966
"285","2014-04-07",466.559998,1845.040039
"286","2014-04-08",457.339996,1851.959961
"287","2014-04-09",384.630005,1872.180054
"288","2014-04-10",435.140015,1833.079956
"289","2014-04-11",437.649994,1815.689941
"290","2014-04-14",526.429993,1830.609985
"291","2014-04-15",536.950012,1842.97998
"292","2014-04-16",502,1862.310059
"293","2014-04-17",485.519989,1864.849976
"294","2014-04-21",487.910004,1871.890015
"295","2014-04-22",487.299988,1879.550049
"296","2014-04-23",500.290009,1875.390015
"297","2014-04-24",464.48999,1878.609985
"298","2014-04-25",457.869995,1863.400024
"299","2014-04-28",446.119995,1869.430054
"300","2014-04-29",445.630005,1878.329956
"301","2014-04-30",460.130005,1883.949951
"302","2014-05-01",453.670013,1883.680054
"303","2014-05-02",438.649994,1881.140015
"304","2014-05-05",432.190002,1884.660034
"305","2014-05-06",446.549988,1867.719971
"306","2014-05-07",441.109985,1878.209961
"307","2014-05-08",445.450012,1875.630005
"308","2014-05-09",451.899994,1878.47998
"309","2014-05-12",433.920013,1896.650024
"310","2014-05-13",442.630005,1897.449951
"311","2014-05-14",448.100006,1888.530029
"312","2014-05-15",453.630005,1870.849976
"313","2014-05-16",452.790009,1877.859985
"314","2014-05-19",484.570007,1885.079956
"315","2014-05-20",488.839996,1872.829956
"316","2014-05-21",515.359985,1888.030029
"317","2014-05-22",518.090027,1892.48999
"318","2014-05-23",520.460022,1900.530029
"319","2014-05-27",570.840027,1911.910034
"320","2014-05-28",564.419983,1909.780029
"321","2014-05-29",612.349976,1920.030029
"322","2014-05-30",627.909973,1923.569946
"323","2014-06-02",669.429993,1924.969971
"324","2014-06-03",638.929993,1924.23999
"325","2014-06-04",660.179993,1927.880005
"326","2014-06-05",650.409973,1940.459961
"327","2014-06-06",651.669983,1949.439941
"328","2014-06-09",655.619995,1951.27002
"329","2014-06-10",642.950012,1950.790039
"330","2014-06-11",597.130005,1943.890015
"331","2014-06-12",610.349976,1930.109985
"332","2014-06-13",583.419983,1936.160034
"333","2014-06-16",605.090027,1937.780029
"334","2014-06-17",606.210022,1941.98999
"335","2014-06-18",600.169983,1956.97998
"336","2014-06-19",590.75,1959.47998
"337","2014-06-20",597.039978,1962.869995
"338","2014-06-23",588.77002,1962.609985
"339","2014-06-24",568.450012,1949.97998
"340","2014-06-25",582.700012,1959.530029
"341","2014-06-26",602.22998,1957.219971
"342","2014-06-27",597.559998,1960.959961
"343","2014-06-30",643.190002,1960.22998
"344","2014-07-01",645.719971,1973.319946
"345","2014-07-02",638.030029,1974.619995
"346","2014-07-03",623.960022,1985.439941
"347","2014-07-07",615.320007,1977.650024
"348","2014-07-08",623,1963.709961
"349","2014-07-09",618.390015,1972.829956
"350","2014-07-10",632.900024,1964.680054
"351","2014-07-11",635.900024,1967.569946
"352","2014-07-14",619.599976,1977.099976
"353","2014-07-15",614.799988,1973.280029
"354","2014-07-16",626.580017,1981.569946
"355","2014-07-17",627.469971,1958.119995
"356","2014-07-18",627.039978,1978.219971
"357","2014-07-21",622.530029,1973.630005
